"SpeciesName","LW_SVSPP","Season","Gender","N","ln_a","SEa","b","SEb","SE_estimate","r2","lna1","lna","SEASON"
"Summer flounder",103,"Winter","Male",2112,"?12.3825",0.05,3.2323,0.0141,0.1195,0.9612,12.3825,-12.3825,"WINTER"
"Summer flounder",103,"Winter","Female",3114,"?12.4887",0.0333,3.2563,0.009,0.1181,0.9766,12.4887,-12.4887,"WINTER"
"Fourspot flounder",104,"Spr/Aut","Combined",6140,"?12.3202",0.0223,3.1463,0.0068,0.1186,0.9719,12.3202,-12.3202,"FALL"
"Fourspot flounder",104,"Spr/Aut","Male",2823,"?12.2648",0.0427,3.1239,0.0133,0.1134,0.9517,12.2648,-12.2648,"FALL"
"Fourspot flounder",104,"Spr/Aut","Female",3226,"?12.5568",0.0334,3.2213,0.0101,0.1118,0.9696,12.5568,-12.5568,"FALL"
"Fourspot flounder",104,"Winter","Combined",3269,"?12.8160",0.0367,3.2932,0.0112,0.14,0.9638,12.816,-12.816,"WINTER"
"Fourspot flounder",104,"Winter","Male",1221,"?12.8046",0.0706,3.2835,0.0219,0.1376,0.9484,12.8046,-12.8046,"WINTER"
"Fourspot flounder",104,"Winter","Female",1989,"?12.9049",0.048,3.3227,0.0144,0.135,0.9641,12.9049,-12.9049,"WINTER"
"Windowpane flounder",108,"Autumn","Combined",3008,"?11.0093",0.0229,2.8721,0.0073,0.1536,0.9811,11.0093,-11.0093,"FALL"
"Windowpane flounder",108,"Autumn","Male",1210,"?10.9828",0.0524,2.8633,0.0166,0.1158,0.9611,10.9828,-10.9828,"FALL"
"Windowpane flounder",108,"Autumn","Female",1591,"?10.8411",0.0504,2.8221,0.0155,0.1349,0.954,10.8411,-10.8411,"FALL"
"Windowpane flounder",108,"Spring","Combined",2218,"?11.3526",0.0268,2.9982,0.0084,0.1494,0.9829,11.3526,-11.3526,"SPRING"
"Windowpane flounder",108,"Spring","Male",943,"?11.3050",0.0672,2.9781,0.0211,0.1134,0.955,11.305,-11.305,"SPRING"
"Windowpane flounder",108,"Spring","Female",1163,"?11.7690",0.0693,3.1293,0.0211,0.1424,0.9497,11.769,-11.769,"SPRING"
"Windowpane flounder",108,"Winter","Combined",2783,"?11.5177",0.0269,3.0418,0.0083,0.1283,0.9797,11.5177,-11.5177,"WINTER"
"Witch flounder",107,"Win/Spr","Combined",2193,"?13.2151",0.0324,3.3289,0.0093,0.1411,0.9832,13.2151,-13.2151,"SPRING"
"Witch flounder",107,"Autumn","Combined",1585,"?12.7334",0.0253,3.1997,0.0077,0.1515,0.991,12.7334,-12.7334,"FALL"
"American plaice",102,"Win/Aut","Combined",4965,"?12.7492",0.0185,3.3062,0.0056,0.1378,0.9862,12.7492,-12.7492,"FALL"
"American plaice",102,"Spring","Combined",3779,"?12.8117",0.0195,3.3125,0.0058,0.1217,0.9884,12.8117,-12.8117,"SPRING"
"American plaice",102,"Spring","Male",1658,"?12.7168",0.0317,3.279,0.0097,0.1084,0.9856,12.7168,-12.7168,"SPRING"
"American plaice",102,"Spring","Female",2020,"?12.9811",0.0292,3.3641,0.0085,0.1196,0.9872,12.9811,-12.9811,"SPRING"
"Yellowtail flounder",105,"Autumn","Combined",2753,"?11.8381",0.0274,3.0559,0.008,0.1055,0.9815,11.8381,-11.8381,"FALL"
"Yellowtail flounder",105,"Autumn","Male",1273,"?11.6605",0.047,2.9983,0.0139,0.0972,0.9734,11.6605,-11.6605,"FALL"
"Yellowtail flounder",105,"Autumn","Female",1428,"?11.9764",0.0383,3.0995,0.011,0.1051,0.9825,11.9764,-11.9764,"FALL"
"Yellowtail flounder",105,"Spring","Combined",2686,"?12.3581",0.0415,3.2099,0.012,0.1376,0.9638,12.3581,-12.3581,"SPRING"
"Yellowtail flounder",105,"Spring","Male",1497,"?11.7347",0.0612,3.0161,0.0179,0.1026,0.9501,11.7347,-11.7347,"SPRING"
"Yellowtail flounder",105,"Spring","Female",1160,"?12.7073",0.0656,3.3235,0.0187,0.1442,0.9646,12.7073,-12.7073,"SPRING"
"Yellowtail flounder",105,"Winter","Combined",3336,"?12.4209",0.0319,3.2408,0.0091,0.1224,0.9742,12.4209,-12.4209,"WINTER"
"Yellowtail flounder",105,"Winter","Male",1520,"?12.0924",0.0591,3.1314,0.0172,0.0912,0.9564,12.0924,-12.0924,"WINTER"
"Yellowtail flounder",105,"Winter","Female",1768,"?12.9148",0.0585,3.3898,0.0164,0.1174,0.9603,12.9148,-12.9148,"WINTER"
"Winter flounder",106,"Winter","Combined",1196,"?11.6892",0.034,3.1189,0.0104,0.1324,0.9868,11.6892,-11.6892,"WINTER"
"Winter flounder",106,"Winter","Male",445,"?11.4862",0.0463,3.0459,0.0142,0.0982,0.9904,11.4862,-11.4862,"WINTER"
"Winter flounder",106,"Winter","Female",673,"?11.8906",0.0473,3.185,0.0142,0.1116,0.9869,11.8906,-11.8906,"WINTER"
"Winter flounder",106,"Spring","Combined",4018,"?11.4718",0.0218,3.0431,0.0065,0.1246,0.9818,11.4718,-11.4718,"SPRING"
"Winter flounder",106,"Spring","Male",1642,"?11.2363",0.031,2.9636,0.0094,0.1065,0.9838,11.2363,-11.2363,"SPRING"
"Winter flounder",106,"Spring","Female",2293,"?11.4598",0.03,3.0457,0.0089,0.1207,0.9809,11.4598,-11.4598,"SPRING"
"Winter flounder",106,"Autumn","Combined",4111,"?11.6356",0.02,3.1091,0.0059,0.1012,0.9857,11.6356,-11.6356,"FALL"
"Winter flounder",106,"Autumn","Male",1709,"?11.4725",0.0336,3.0584,0.01,0.1048,0.9819,11.4725,-11.4725,"FALL"
"Winter flounder",106,"Autumn","Female",2356,"?11.7022",0.0265,3.1297,0.0077,0.0969,0.9861,11.7022,-11.7022,"FALL"
"Atlantic halibut",101,"Spring","Combined",19,"?12.5865",0.1981,3.2674,0.0495,0.0763,0.9961,12.5865,-12.5865,"SPRING"
"Atlantic halibut",101,"Autumn","Combined",29,"?12.1813",0.171,3.1904,0.0432,0.1031,0.995,12.1813,-12.1813,"FALL"
